step,t,energy,dE,one_minus_norm_sq,m_stag,max_chi,max_trunc,total_trunc
23,1.1500000000000001,-17.37907120480462,6.132729879482213e-10,5.3731685767388626e-11,-0.30864983880614016,64,9.950928970135866e-13,1.3343881555895335e-11
24,1.2000000000000002,-17.3790712046216,7.962945858253079e-10,6.965039656137151e-11,-0.3049436306165753,64,1.3254952691857895e-12,1.5921486352519626e-11
25,1.25,-17.379071204390808,1.027085971827546e-9,8.970368892136094e-11,-0.30054530032523835,64,1.77224901435698e-12,2.00647276587304e-11
26,1.3,-17.379071204086646,1.3312480007243721e-9,1.1614365025280904e-10,-0.2956047939421815,64,2.1735946378456558e-12,2.646549646371912e-11
27,1.35,-17.379071203664104,1.7537900021125097e-9,1.527081794350238e-10,-0.29026917373095307,64,2.9349855883212652e-12,3.657374403819965e-11
28,1.4000000000000001,-17.379071203050884,2.367009699355549e-9,2.0563772906712074e-10,-0.2846771780050585,64,4.352740391184726e-12,5.2945203786155716e-11
29,1.4500000000000002,-17.379071202156986,3.260907988078543e-9,2.8325963796760334e-10,-0.2789547364016776,64,6.367018025607444e-12,7.764322520137608e-11
30,1.5,-17.379071200909994,4.507899831196482e-9,3.9199787860155766e-10,-0.27321159602680867,64,8.767431228672766e-12,1.0874989801212005e-10
31,1.55,-17.37907119912004,6.297852905845502e-9,5.451682438817329e-10,-0.2675391404432375,64,1.1344925004961125e-11,1.5316836694990115e-10
32,1.6,-17.379071196454625,8.96326923793822e-9,7.681690838978739e-10,-0.2620094090368235,64,1.547417750550933e-11,2.2301294159228722e-10
33,1.6500000000000001,-17.379071192534507,1.2883386801831875e-8,1.0923307813826e-9,-0.25667525375714867,64,2.4214630324914264e-11,3.241784621512647e-10
34,1.7000000000000002,-17.379071186957248,1.846064634491995e-8,1.5542082065778118e-9,-0.25157150803448375,64,3.551081655966288e-11,4.618941901685667e-10
35,1.75,-17.379071179149264,2.626862993793111e-8,2.2055327564274307e-9,-0.24671699244720532,64,4.842204424918624e-11,6.513337659142178e-10
36,1.8,-17.379071168245307,3.71725867864825e-8,3.1146829559958178e-9,-0.24211714608755863,64,6.319800256613103e-11,9.091575294375966e-10
37,1.85,-17.379071153606283,5.181161100153986e-8,4.328056801838898e-9,-0.2377670529968927,64,8.915279660228542e-11,1.213384730506269e-9
38,1.9000000000000001,-17.37907113545766,6.99602331621918e-8,5.802163194346122e-9,-0.23365462971417536,64,1.0006906467429181e-10,1.4741126171677159e-9
39,1.9500000000000002,-17.37907111482746,9.059043293291325e-8,7.46418638009061e-9,-0.22976375196383544,64,1.1292700185917653e-10,1.662032300528698e-9
40,2.0,-17.379071090634913,1.147829813419321e-7,9.421589730607138e-9,-0.22607712396329283,64,1.3330403563853554e-10,1.9574246832278893e-9
41,2.0500000000000003,-17.379071059708576,1.4570931838875367e-7,1.1935687216357849e-8,-0.22257872981579907,64,1.74058991389304e-10,2.514114498849643e-9
